Stops,PitLaps,TotalTime
1,"(10,)",6581.399
1,"(20,)",6590.389
1,"(30,)",6604.7134
1,"(40,)",6615.266
1,"(50,)",6628.69
1,"(60,)",6632.849
2,"(10, 60)",6700.7295
2,"(20, 60)",6709.719
2,"(30, 60)",6724.0444
3,"(10, 40, 50)",6725.1167
3,"(10, 30, 50)",6726.2407
3,"(20, 40, 50)",6734.106
2,"(40, 60)",6734.5967
3,"(20, 30, 50)",6735.2305
3,"(10, 20, 50)",6737.1274
0,[],6741.2456
3,"(10, 30, 40)",6743.545
2,"(50, 60)",6748.02
3,"(30, 40, 50)",6748.431
3,"(20, 30, 40)",6752.5347
3,"(10, 20, 40)",6754.432
3,"(10, 50, 60)",6778.7124
3,"(10, 20, 30)",6779.055
2,"(10, 50)",6781.647
3,"(20, 50, 60)",6787.7017
2,"(20, 50)",6790.6367
3,"(10, 40, 60)",6792.89
3,"(10, 30, 60)",6794.014
2,"(10, 40)",6795.825
2,"(10, 30)",6796.949
3,"(20, 40, 60)",6801.8794
3,"(30, 50, 60)",6802.027
3,"(20, 30, 60)",6803.004
2,"(20, 40)",6804.8145
3,"(10, 20, 60)",6804.9014
2,"(30, 50)",6804.962
2,"(20, 30)",6805.9385
2,"(10, 20)",6807.836
3,"(40, 50, 60)",6812.5796
2,"(40, 50)",6815.514
3,"(30, 40, 60)",6816.2046
2,"(30, 40)",6819.139
